MSOA_Code,MSOA_Name,0_15(%),16_29(%),30_44(%),45_64(%),65+(%),Density,Couple_household_1(%),Couple_household_2(%),Lone_parent_household(%),One_person_household(%),White(%),Asian(%),Black(%), no_English ,Unemployment_Rate,Median_Income ,Economically_active(%),Income_Deprivation,No_cars_household (%),no_ limited(%),health(%),obesity(16+),Cancer_Incidence ,Life_Expectancy(M),Life_Expectancy(F£©
E02000255,Ealing 018,21.71,19.33,23.48,23.92,11.56,61.1,21.9,19.8,13,28.4,61.5,14.7,12.5,18.8,6.9,40484,70.2,18.5,30.3,86.7,52.7,16.5,97.5,77.1,83.5
E02000256,Ealing 019,16.06,21.71,28.56,21.79,11.87,81.6,17.6,21.3,7.4,34.1,69.2,15.9,5,20,5.1,50640,75.7,16.9,36.9,88.2,54.1,11.8,91.1,77.2,84.4
E02000257,Ealing 020,15.25,23.53,30.37,19.47,11.38,61.9,15.5,22.3,6.2,36.5,62.7,21.9,4.9,22,5.2,51698,75,19.1,39.2,88.3,54.5,11.4,85.9,80.1,84.6
E02000258,Ealing 021,20.33,22.24,26.97,20.59,9.87,66.3,20.1,17.1,11.4,30.7,58.9,17.3,9.7,25.2,6.8,35249,70.7,24.3,37.9,87.9,52.1,15.7,107.1,79.2,85.2
E02000259,Ealing 022,21.29,18.66,24.86,25.03,10.17,49.5,25.5,20.1,11.7,23,69.3,13.5,8.1,18.2,5.1,42063,76.7,15.6,27.5,88.3,51.4,13.9,96.1,77.6,86.7
E02000260,Ealing 023,19.92,23.95,22.73,21.53,11.87,81.2,20.3,16.5,12,19.4,9.6,74.9,8.3,37.3,8.8,24748,64.6,38.1,36.2,82.4,44.3,18.1,63.1,77,83.6
E02000261,Ealing 024,20.1,26.56,25.78,18.24,9.33,83.9,15.1,15.8,14.4,31.9,50.9,16.9,14.4,25.5,7.1,29508,71.4,28.3,48,86.4,52.1,18.5,106,77.9,84.6
E02000262,Ealing 025,18.27,23.33,28.77,19.99,9.64,128.3,14.6,16.5,11.1,38.2,62.8,13.6,10.9,24.2,7,30715,74.4,35.4,49.7,85.4,50.4,14.2,92.4,75,86
E02000263,Ealing 026,20.95,24.55,23.24,20.51,10.75,95.9,19.5,14.3,11,17.7,6.1,81.3,6.8,43.4,9.5,22323,63.6,43.1,39.1,82.7,43.9,19.7,76.6,77.8,79.8
E02000264,Ealing 027,15.88,23.16,25.56,23.11,12.28,56.3,16.9,20.3,7.3,31.2,66.6,17.1,4.7,21.3,5,45947,75.7,20.2,35.8,87.9,53.3,12.1,93.3,78.9,81.8
E02000265,Ealing 028,18.44,21.46,30.96,19.53,9.61,107.8,16.2,18.6,11,36.7,61.7,17,11.5,21.4,7.3,33387,74.2,37.3,45.8,85.9,50.9,16.4,86.7,77.4,81.7
E02000266,Ealing 029,23.75,22.76,23.81,20.82,8.86,31.7,20.8,13.8,20,24.1,22.7,43.7,23,31.3,13.2,22204,61.4,41.3,38.5,80.6,46.1,23.1,85.5,76.7,80.2
E02000267,Ealing 030,20.01,18.73,30.22,22.12,8.92,93.3,21.3,17.8,11,32.7,71.3,12.4,7.9,18.7,6.1,37448,77.3,25.5,33.6,87.7,52.5,15.2,106.4,72.9,85.2
E02000268,Ealing 031,16.83,21.19,27.27,23.5,11.21,69.6,17.7,23,9.9,31.4,73.1,11.7,6.8,14.5,6.6,47342,75.2,20.8,34.2,86.7,52.7,14,95.9,78,83.6
E02000269,Ealing 032,18.63,18.71,29.3,23.06,10.3,91.2,23.3,24,6,29.5,76.6,11.8,3.6,12.7,4,54721,79.3,17.4,31.6,89.4,56.7,12.2,91.2,81.6,82.7
E02000270,Ealing 033,23.67,21.2,26.54,18.82,9.76,100.5,15.6,13.7,16.8,37,48,15.1,23.7,29.8,10.2,24319,67.9,38.4,55.7,83.8,47.7,19.6,88.5,81.6,85.4
E02000271,Ealing 034,18.48,17.03,28.54,25.23,10.72,89.2,23,22.7,6.1,31.3,82.8,6.7,3.2,11.5,3.9,62306,76.3,14.2,31.4,91,60.3,11.9,121.3,80.8,86.1
E02000272,Ealing 035,19.03,16.21,25.22,25.73,13.81,55.5,24.2,23.6,7.8,25.6,74.1,13.8,4.9,10.6,4.9,50797,76.1,13.3,24.2,87.8,51.8,14.1,97.8,79.9,85.4
E02000274,Ealing 037,22.66,25.71,23.12,20.37,8.14,90.1,22.5,14.8,14,15.9,8.4,71.9,12,43.7,10.4,21267,65.2,43,38.9,84.7,45.4,21.6,77,77.9,85.3
E02000275,Ealing 038,19.01,23.29,21.32,23.71,12.67,62.2,19.8,17.5,10.4,23.3,17,65.5,8.6,35.3,10.1,25015,66.4,38.8,35.2,81.1,45.3,18.6,62.6,79.1,82.5
E02000276,Ealing 039,18.18,22.08,31.2,18.55,10,79.7,22.9,22.2,7.1,29,75.6,12.4,5.1,13.9,4,49469,77.3,23.4,34.5,90,55.8,12.6,103.9,77.3,84
E02006791,Ealing 040,16.12,20.01,32.63,21.99,9.24,96.2,16.3,22.8,7.7,37.4,75.7,9.6,7.6,12.3,4.8,48508,78,23.4,37.9,88.8,56.4,14.7,83.8,80.3,83.9
E02000277,Enfield 001,22.67,20,21,23.84,12.5,68.6,21.1,20.6,18.6,24.7,64.9,5.2,20.2,14,9.2,25716,70.5,19.6,26,84.3,44.7,28.8,92.3,80,81.1
E02000278,Enfield 002,26.49,20.37,20.86,20.06,12.22,69,19.4,14.6,24.6,26.8,60.9,6.7,22,18.9,12,21779,63.5,28.5,36.1,82.1,43.5,27.1,95.6,75.8,80.9
E02000279,Enfield 003,27.93,20.94,24.69,19.7,6.73,44.8,19.3,16.9,23.8,27.1,51.8,7.8,28.1,19.3,11.6,24370,68.1,29.2,34.6,86.3,48.1,25.9,112.8,78.3,81.4
E02000280,Enfield 004,21.22,15.88,23.03,25.1,14.77,5.4,22,21.5,13.9,28.6,82.1,5.4,6.2,7.2,6.4,35117,72.1,19.8,25.6,84.1,49,22.3,111,78.2,84.1
E02000281,Enfield 005,23.74,19.33,24.01,21.35,11.58,46.3,21.3,17,18.6,29.8,68.2,7.9,14.1,12.7,9.1,26860,70.4,22.1,29.7,84.1,45.8,26.3,81.5,76.8,80.6
E02000282,Enfield 006,28.89,20.7,23.23,19.16,8.03,72.4,19.5,13.3,24.6,28.8,57.2,7.4,22.7,23,13.6,19940,62.6,35.7,43,83.9,44.2,29.5,91.3,76,81.1
E02000283,Enfield 007,25.96,21.53,20.13,22.15,10.22,74,24.1,19.2,21.8,18.5,60.4,7.2,20.5,16.4,10.5,24504,66.2,23.7,25.8,85.1,45.6,27.9,83.7,81.4,86.6
E02000284,Enfield 008,19.82,16.91,25.23,24.29,13.74,64.5,20.6,22.4,11.5,32,81.2,5.9,6,6.3,6.1,39307,74.9,16.4,26.6,85,49.3,20.1,84.9,81.3,85.6
E02000285,Enfield 009,20.27,15.89,19.21,28.53,16.11,66.7,27.8,24.7,9.8,22.1,82.5,5.5,5.5,4.8,5.3,43171,73.3,12.3,15.9,85.9,48.3,22.8,94.8,80.3,84.6
E02000286,Enfield 010,13.92,17.53,23.41,25.57,19.56,39.9,15.2,22.6,7.4,39.9,80.8,8.4,5,6.4,4.8,45546,73.4,9.8,23.2,83.5,48.3,17.5,85.6,82.8,87.1
E02000287,Enfield 011,16.84,20.42,16.39,25.94,20.42,7.6,21.8,23.1,7.9,26.3,76.3,11.9,4.8,10.6,5.1,53025,65.4,14.1,19.2,84.6,51.6,16.8,82.2,81.8,84.6
E02000288,Enfield 012,24.62,22.63,22.08,20.17,10.5,50.5,21,16.7,19,27,50.7,14.5,23.4,22.4,10.7,23053,65,32.7,37.5,84,45.2,24.3,112,78.5,80.9
E02000289,Enfield 013,18.88,16.52,16.99,28.38,19.24,19.4,26,23,9.6,21.3,77,12,3.6,7.2,5.4,48346,69.1,12.8,13.4,84.8,48.3,19,93.9,82.4,89
E02000290,Enfield 014,28.58,22.54,23.39,17.55,7.94,15.1,19.1,11.1,25,31.3,45.2,13.8,27.6,25.6,13.2,19974,63.3,37.1,46.1,85,44.8,26.4,85,74.9,83.3
E02000291,Enfield 015,19.9,19.49,25.25,21.02,14.34,79.7,16.5,18.1,14.5,37.3,70.2,6.5,12.7,13.3,8.1,30042,71.4,18.3,35.6,84.1,46.3,21.6,84.7,79.1,82
E02000292,Enfield 016,22.6,18.91,22.91,23.65,11.92,51.4,22.8,19.2,16.5,24.8,66.7,10.3,13.2,12.1,7.3,31552,71.9,19.4,25,86.1,47.2,24.1,99.9,79.1,85.5
E02000293,Enfield 017,18.57,14.81,18.3,28.27,20.06,29.4,23.7,23.7,8,25.5,80.9,8.7,4.1,6.3,4.6,53234,71.3,9.3,14.9,85.8,51.8,19.1,94.2,84.3,85.8
E02000294,Enfield 018,24.27,21.38,19.99,22.84,11.52,59.5,22.4,18,18.1,23.1,49,13.3,26.3,21.2,9.3,23917,63.6,29.5,32.3,84,45.3,25.8,96,78.5,82.4
E02000295,Enfield 019,19.92,17.38,24.36,23.07,15.27,52.7,21.6,21.1,12.9,28.5,69.4,14.1,6.3,12.3,6.8,41983,70.8,16.8,22.1,84.8,49.9,17.4,92.4,80.4,82.7
E02000296,Enfield 020,17.3,23.48,24.75,19.55,14.91,54.2,16.4,19.3,12.7,31,68.5,15.9,6.1,16.6,7.3,34084,70.7,20.3,32.1,84,45.5,17.7,80.5,80.2,84.2
E02000297,Enfield 021,17.46,18.15,19.19,28,17.21,56.9,21.9,26.3,10.1,24.1,75.1,9.7,8.1,8.2,4.5,44530,72.2,13.9,16.7,85.2,48.5,22.4,83.4,82.5,86.2
E02000298,Enfield 022,19.22,15.65,22.04,27.18,15.91,40.3,24.7,25.8,7.4,24.6,80.7,7.4,4.3,7.1,4.1,54820,73.8,13.5,16,87.2,54.3,17.6,82,83.6,84.3
E02000299,Enfield 023,26.27,20.46,21.7,20.87,10.71,107.7,19.5,14.4,21.6,29.2,40.7,13.1,33.4,23.7,10.7,22359,64.9,31.3,43.2,84.2,43.9,27.9,97.9,77.1,80.5
E02000300,Enfield 024,25.13,21.54,22.12,21.58,9.64,106.9,20.5,16,19.7,28,43,13.3,29.9,25.1,10.4,24178,66.5,24,39.6,85.6,44.2,28.4,95.8,76.2,81.9
E02000301,Enfield 025,26.95,20.94,22.92,20.41,8.78,56.6,18.4,13,24.4,30.9,41.8,11,32.7,27.2,12.7,20418,61.8,39.6,48.5,83.8,45.4,27.3,88.6,78,81.8
E02000302,Enfield 026,20.01,18.72,21.61,25.03,14.63,52.8,20.5,20.9,13.5,26.6,64.6,12.8,11.5,16.2,7.2,33941,68.6,27.4,26,83.6,46.6,22.3,86.5,80.4,84.7
E02000303,Enfield 027,26.67,21.81,20.85,20.94,9.73,69.3,19.4,12.9,22.4,30.4,44.7,13.9,28.3,25.8,13.3,21087,60.2,39.5,48.6,81.8,42.5,26.4,104.1,77.6,81.6
E02000304,Enfield 028,18.11,17.67,20.39,27.22,16.62,46.9,24.9,25.5,7.9,22.6,73.6,13.5,3.6,10.3,4.5,54819,72.4,11.9,15.4,86.1,51.1,17,94,82.7,83.4
E02000305,Enfield 029,17.11,20.6,26.33,23.92,12.05,91.5,20.5,22.3,9.2,29.8,72.6,9.9,6.6,16.1,5.7,41862,75.7,27.2,30.4,86.4,51.1,16.1,102.4,77.4,80.7
E02000306,Enfield 030,28.71,21.62,23.77,17.71,8.19,45.3,17.6,10.4,25.3,32.7,37.8,12.1,38,28.5,15.5,18308,61,49.6,57.5,83.1,45.3,29.1,112.3,73.7,80.6
E02000307,Enfield 031,23.65,20.62,21.38,23.02,11.32,90.7,23.8,19.6,18.5,19.8,51.6,16.3,19.9,26.2,9.9,26016,67,30.5,28.9,85.3,45.6,25.9,76.1,82,85.7
E02000308,Enfield 032,18.21,22.67,24.55,21.83,12.73,68.4,17.1,19.2,15.2,25.7,59.4,20.2,10.4,21.2,7.5,31597,70.3,25,36.5,84.3,46.2,19.7,85.9,76.6,83.8
E02000309,Enfield 033,26.83,22.06,23.06,19.77,8.28,66.3,19.5,13.1,24.9,25.5,38.7,13,34.4,28.4,11.9,21387,64.1,34.2,46,85.7,45.3,28.7,92,74.9,79.7
E02000311,Enfield 035,20.73,22.82,22.93,22.1,11.42,71.8,18.9,19.9,17.1,24.7,56.1,16.4,13.6,27.4,9,26884,69.9,33.4,33.3,83.8,45.4,23.5,85.4,80.7,83.7
E02000312,Enfield 036,15.67,24.35,26.83,21.75,11.4,83.6,16.8,20.3,11.1,30.4,65.5,14.5,9.9,23.2,6.6,34634,75.7,31.7,40.1,86.2,48.4,18.2,93.9,78.1,82.8
E02006793,Enfield 037,26.74,22.42,23.53,19.27,8.04,93,18.1,12,24.6,29.6,41.1,12.4,31.8,31.9,13.1,19714,61.4,39.8,50.3,83.6,44.2,27.1,115.2,75.9,76
E02000313,Greenwich 001,27.29,18.99,26.03,21.5,6.18,92.5,19,12.7,18.8,34.9,49.3,4.1,40.7,13.2,11.7,24276,69.5,37.9,49.7,85.9,51.2,25.8,134.4,75.1,77.9
E02000314,Greenwich 002,29.32,21.6,30.54,14.55,4,43.4,25.3,13.1,19.9,24.5,38.9,9.6,43.8,17,10.2,29541,70.8,29.5,37.6,89.4,57.4,24,93.3,74.1,77.9
E02000315,Greenwich 003,28.14,18.62,23.79,19.58,9.87,77,19.2,12.8,21.2,30.8,52.3,6.9,34.8,9.8,12.3,23697,67.7,32.4,47.8,83.2,49.4,25.7,109.3,72.4,80.1
E02000316,Greenwich 004,20.53,27.64,32.7,13.91,5.23,59.1,13,17,12.7,40.8,53.1,14.2,24.1,16.9,8.7,29087,76.9,43.6,58.7,87.8,53.5,24.4,128.8,71,80.2
E02000317,Greenwich 005,27.61,20.79,24.37,19.73,7.5,130.9,17.7,12.9,21.8,31.5,48.3,12.9,31.3,16.1,14.2,23117,65.1,39.2,54.4,83.5,49.6,25.3,110.9,74.2,79.3
E02000318,Greenwich 006,22.66,24.09,24.98,20.21,8.06,92.3,17.5,14.4,15.4,26.9,35,35.1,23.2,22.9,11,25175,69.6,39.3,48.5,86,50.4,24.6,102,73.4,81.8
E02000319,Greenwich 007,22.1,24.5,28.98,18.18,6.24,121.3,17.5,15.9,15.3,29.1,41.6,23.2,27.3,18,11.8,27011,71.6,36.2,47.2,87,52.6,23.1,100.6,73.1,77
E02000320,Greenwich 008,25.09,19.54,23.32,22.9,9.15,46.6,20.3,17.7,17.7,28.4,55.7,11.9,24.7,11.1,9.3,27925,71.3,22.4,40.3,84.7,49.1,27.2,99.6,76.2,82.7
E02000321,Greenwich 009,24.01,23.11,24.83,19.72,8.32,117.8,16.2,13,18.9,35.1,50.2,14.5,27.6,15.4,12.2,23177,68.4,39.3,55.4,83.1,47.2,27.8,90.6,73.6,79.6
E02000323,Greenwich 011,25.85,22.92,27.05,17.58,6.6,143.8,17.6,11.2,18.8,32.7,39,20.7,32.7,20.4,12.6,23258,69,47.2,56.6,85.7,50.3,23.1,114.8,73.1,80.8
E02000324,Greenwich 012,22.67,21.08,23.92,20.04,12.29,57,16.8,15.9,17.1,31.2,60.1,15.2,17.7,13.2,9.9,26863,67.6,34.9,49.7,80.6,46.1,20.5,116.4,71.4,77.1
E02000326,Greenwich 014,20.93,19.58,30.03,20.33,9.14,99.4,19.1,20.2,13.2,30.6,67.6,12,13.3,10.6,6.6,39906,74.4,27.6,39,86.5,51.4,18.3,91.3,77.6,82.1
E02000327,Greenwich 015,28.57,25.47,25.03,16.22,4.72,38.1,22.1,13.3,18.9,30.6,47.6,10.8,33.3,14,12.1,25334,68.6,39.6,52.8,86.9,55.5,27,86.8,79.2,85.2
E02000328,Greenwich 016,16.82,17.45,28.88,22.12,14.73,76.7,17.1,21.1,6.9,40.1,81.6,5.8,6.6,6.1,5.6,50673,73.4,22.6,40.2,84,52.3,15.1,107,77.3,81.5
E02000329,Greenwich 017,20.7,18.67,22.78,25.19,12.65,35.5,19.5,20.4,15.2,27.8,64.1,12.4,16.6,7.4,9,30249,69.8,22.9,31.7,83,46.3,25.3,103.4,78.3,86.6
E02000331,Greenwich 019,20.73,22.14,26.18,19.9,11.06,80.8,15.9,18.3,14.3,33.1,64.7,12.8,15.7,9.3,7.7,29502,69.9,28.2,42.2,83.1,49.4,23.2,107.7,76.1,81.6
E02000332,Greenwich 020,20.79,16.19,24.86,25.95,12.22,36.4,19.4,21.1,12.3,30.3,68.5,8.1,15.8,5.8,7.7,40914,72.6,16.6,29,85.9,49.5,22.2,102.7,78.7,83.6
E02000333,Greenwich 021,15.71,17.1,30.28,21.6,15.31,49.8,15.3,23.5,6.1,40.1,84.6,5.7,4.9,5.6,3.9,59305,76.6,14,32,86.8,56,14.2,94.8,81.1,82.9
E02000334,Greenwich 022,19.83,18.53,23.73,24.97,12.94,47.1,18.6,20.6,13.3,30.6,68.3,11,13.8,9.2,7.3,32861,69.4,23.4,29.1,82.2,45.3,21.7,97.7,78.2,85.4
E02000335,Greenwich 023,18.92,14.99,22.74,27.36,15.99,51,24.2,24.8,9.4,26.5,88.4,4.9,3.1,3.9,5,42666,74,13.3,22.3,84.7,48.8,22.3,95.8,79.5,83.4
E02000337,Greenwich 025,20.76,19.28,22.55,24.99,12.42,57.2,20.1,21,16.5,26,80.1,6.4,8.7,7.3,9.3,28236,67.2,26.6,32.6,80.2,43.8,25.1,121.7,74,80.7
E02000339,Greenwich 027,18.27,15.86,20.2,28.31,17.35,48.3,21.9,21.3,8.8,33.3,89,4.9,2.7,4.2,5.6,47874,71.7,15.3,29.8,82.6,47.1,18.2,99.6,77.3,87
E02000340,Greenwich 028,14.39,18.97,20.01,25.89,20.75,18.7,15.1,21,8,38.1,85.2,6.4,4.5,5.7,5.8,41356,71.7,11,31.4,82.3,44.9,20.9,100.4,77.5,84.4
E02000341,Greenwich 029,24.2,18.6,22.95,22.28,11.97,42.8,18,18.7,19.7,28.3,76.5,5.8,11.1,7.9,10.7,25484,65.6,28.6,37.4,79.8,43,26.2,115.2,75.2,82.5
E02000342,Greenwich 030,18.02,33.94,18.63,18.47,10.94,47.5,16.9,19.5,16.1,32.1,81.3,7.8,6.1,5,6.8,29421,61.7,20.7,34,85,47.7,21.7,101.5,77.9,84.3
E02000343,Greenwich 031,19.25,19,19.04,26.31,16.4,53.3,16.9,20,13.9,32.3,80.1,5.8,8.2,5.6,7.9,31128,67.1,20.4,29.8,79.9,43.5,25.7,102.4,78.1,85.4
E02000344,Greenwich 032,17.94,18.08,19.9,26.71,17.36,48.8,22.9,25.1,9,26.5,83.4,6.2,5.8,4.3,5.1,42674,72.4,15.2,20.7,84,47.2,23.7,94.7,78.8,81.6
E02006786,Greenwich 033,24.35,20.74,22.61,22.92,9.37,57.5,20.1,16.6,17.8,28.7,58.3,10.9,23.7,10.5,10.7,27111,70.8,21.9,37.9,85.3,47.8,27.2,107.5,75.1,82.9
E02006927,Greenwich 034,21.03,16.73,22.97,23.66,15.61,32.5,18.3,19.9,13.2,31.3,70.9,9.4,12.9,7.7,7.8,38143,68,18.9,32.8,83.2,49.4,22.7,107.6,77.8,81.6
E02006928,Greenwich 035,17.01,37.42,29.18,12.67,3.72,144.4,12.1,18.2,15,36.3,58.6,15.1,17.4,15.7,8.4,33988,69.3,28,57.9,90.8,54,17.7,98.7,77.8,82.6
E02006929,Greenwich 036,18.48,26.6,30.68,15.97,8.28,31.3,13.5,20.6,13.2,35,62,18.2,12.5,13.5,6.5,35028,74.9,30.5,53.1,85.7,52.4,18.1,94.1,75.4,85
E02006930,Greenwich 037,15.15,25.77,32.59,18.17,8.32,77.7,15.9,23.5,7.4,32.8,77.9,9.7,5.7,10,5.3,46180,78.3,30.5,43.8,88.7,55.5,18.1,94.1,75.4,85
E02006931,Greenwich 038,17.77,21.92,31.03,18.41,10.88,47.3,14.9,23.3,9.8,35.4,73.3,7.6,12.2,9,5.4,47499,76.2,28,48.9,87.3,56.2,17.7,98.7,77.8,82.6
E02000345,Hackney 001,35.9,23.2,20.12,14.6,6.19,148.8,32.2,15.3,8.6,27,70.8,4.9,9.4,20.5,10,35371,63.8,32,56.1,89.9,65.2,21.9,86.9,80.4,84.3
E02000346,Hackney 002,20.08,24.89,24.61,21.44,9,104.1,11.7,9.2,23.1,36.9,43.4,12.4,29.2,28,13.3,21298,60.8,47.4,69.6,79.8,43.2,25.9,86.5,77.6,86.8
E02000347,Hackney 003,30.96,23.54,21.43,16.48,7.59,118,26.1,16.5,11.1,30.7,68.6,5.9,12.8,15.7,9.6,34478,65.1,40.1,60.7,87,62,20.6,111.5,74.7,85.6
E02000348,Hackney 004,33.51,21.48,22.36,16.18,6.47,147,24.4,12.1,16.7,31.4,56.9,8.9,20.1,23,12.2,27624,62.6,46.3,64.3,85.9,58.9,25.2,98.4,78.4,83.5
E02000350,Hackney 006,20.73,27.03,30.23,16.61,5.41,171.8,16.9,18.6,9.6,31.3,59.6,15.1,14.7,16.3,7.3,40001,75.8,45.9,59.7,88.3,56.8,18.5,92.1,80,83.7
E02000351,Hackney 007,12.98,33.32,32.61,15.23,5.87,164.9,10.4,20.4,8.2,35.8,66.3,10.1,12.7,18,5.3,42844,79.1,36.8,63.6,88.5,54.8,16.9,99.2,76.5,85.2
E02000352,Hackney 008,22.96,21.15,28.1,18.84,8.95,90.9,17.2,16.3,14.3,34.9,66.8,6.8,14.4,12.7,7.1,39069,72.1,41.8,58.2,84.1,54,18.8,106.7,76.1,82.8
E02000353,Hackney 009,16.77,26.11,31.69,18.55,6.88,140.8,16.9,20.1,8.8,30.3,67.7,11.4,11.9,12.6,5.8,48843,78.8,43.9,55.2,88.1,55.9,17.3,99,75.6,83.5
E02000354,Hackney 010,19.92,25.89,29.06,17.46,7.67,126.2,12.8,13.6,15.9,39,45.7,14,27.7,19.6,12.4,27155,69.1,53.6,66.6,82.9,48.5,23.4,110.3,75.2,79.4
E02000355,Hackney 011,17.43,26.12,29.1,19.05,8.31,133.3,14,16.1,12.7,32.6,51.4,18.3,20.7,18.2,10.5,34930,74,41.8,57.3,84.4,48.9,20.1,88,74.4,78.9
E02000356,Hackney 012,17.47,24.14,33.04,19.26,6.1,183.2,16.5,20.4,10.6,32.5,71.4,5.8,12.6,11.6,6.4,49507,79.4,41,57.1,88,55.6,16,107.7,78.6,86
E02000357,Hackney 013,28.3,19.72,21.6,20.52,9.86,42.3,14.8,8.7,23.3,36.3,30.9,9.4,47.8,19.7,16.5,21827,60.4,54,63.7,81.4,46.5,30.3,100,81,84
E02000358,Hackney 014,16.26,27.64,31.48,17.29,7.33,181.1,11.2,16.9,14.2,34,54.9,10.1,22.8,17.8,8.9,32389,74.7,47.4,67.4,85.3,49,23,97.6,79.2,83.9
E02000359,Hackney 015,21.26,25.76,26.99,18.07,7.93,153.2,15.9,14.1,17.2,28.1,50.1,11.7,27,15.4,10.8,31380,70.7,42.7,55.3,85.2,51.6,23.5,110,76.7,80.8
E02000360,Hackney 016,21.56,25.02,27.83,18.83,6.77,211.3,12.4,12.1,19.3,35.6,40.5,12.4,34.7,18.3,12.1,26104,70.1,56.4,69.7,84.4,47.7,25.6,106.8,75.5,82.4
E02000361,Hackney 017,16.16,30.75,30.71,15.9,6.48,132.5,9.7,14.5,13.7,38.3,53.5,9.8,25.2,16.2,10.7,29405,76.2,44.2,72,86.5,48.6,22,116.3,75.8,83.7
E02000362,Hackney 018,21.29,24.93,27.28,18.15,8.35,49.5,12,13.4,18.4,36.1,48.8,8.6,31.5,13.1,11.7,26824,68.4,47.8,57.9,81.8,46.5,23.2,121.6,72.8,77.5
E02000363,Hackney 019,26.28,22.14,25.75,18.45,7.38,184.5,14.2,10.2,23.4,34.8,37,11,38.9,18.3,16.4,22768,65.8,46.5,69.2,83.7,47.6,28.4,102.7,76.7,83.4
E02000364,Hackney 020,15.81,26.72,29.74,19.94,7.79,137.6,12,18,12.9,35.5,63.2,7.9,20.2,10.4,8.7,40075,76.4,41.1,62.8,86.2,52.4,20,95.2,74.5,88.9
E02000365,Hackney 021,12.9,32.09,30.72,15.99,8.3,138.8,9.4,19,10.3,35.8,62.7,9.2,17.3,14.1,7,39349,77.1,43.6,64.9,86.3,53.7,20.9,139.5,76.2,80.7
E02000366,Hackney 022,20.48,25.06,25.7,19.97,8.79,134.8,13.1,14.3,16.4,40,58.7,8,23.9,11.9,10.1,30988,69,41.3,60.9,83.2,49.7,22.3,109.6,77,85.1
E02000367,Hackney 023,17.85,28.44,33.68,15.54,4.49,136.9,12.1,18.4,14.8,31.6,60.8,9.5,19.1,13.4,8,36927,77.8,36.2,63.4,88.3,54.1,20.9,106.3,77.3,85.5
E02000368,Hackney 024,20.16,27.25,26.22,18.39,7.98,151.7,11.7,13.3,18,36.5,46.1,11.9,30.7,16.4,12.1,25230,67.7,52.3,66,82.2,47.2,26.9,98.3,77.1,81.6
E02000369,Hackney 025,18.31,28.63,29.46,16.59,7,183.3,11.3,14.2,16.1,35.8,50.4,10.7,26.7,17.7,10.5,28009,70.9,44.2,69.1,84.6,50.7,26.7,94.8,74.7,81.4
E02000370,Hackney 026,17.82,30.49,28.07,17.17,6.46,173.9,10.1,15.4,16.5,38.8,52.5,11.9,22.8,21.1,11.5,27749,69.7,42.1,70.2,84.8,50.4,23.9,118.6,79,81.3
E02000371,Hackney 027,12.51,40.5,29.75,12.66,4.58,130.1,7,15.6,11.2,40.8,59.5,11.3,17.6,20.5,7,34195,74,41.2,76.1,89.3,55.8,20.4,117.6,74.2,80.8
E02006918,Hackney 028,26.95,24.19,26.61,16.75,5.51,155,14.5,12.8,20.2,35.4,39.9,13.6,32.2,22.6,13.5,26026,67.9,47.4,63.7,85,49,25.4,87.5,77.6,84.7
E02006921,Hackney 029,30.9,23.44,21.38,17.33,6.95,173.8,21.3,11.2,18.5,35,49.6,11.3,26.2,21.8,13,25865,62.2,47.4,66,85.1,53.4,25.4,87.5,77.6,84.7
E02000372,Hammersmith and Fulham 001,20.36,23.66,27.26,20.05,8.66,26.1,12.8,13.9,19.5,37.3,50,13,21.1,23.4,9.9,25827,67.5,32.1,63.1,84.6,48.8,21.9,94.8,75.4,84.2
E02000373,Hammersmith and Fulham 002,26.37,22.93,22.3,20.46,7.93,160.8,15.3,10.4,27.9,26.5,37.4,11,35.7,25.9,13.6,17878,63.6,43.8,66.1,83.6,48.2,26.5,85.5,79.8,82.7
E02000374,Hammersmith and Fulham 003,18.99,26.19,26.53,18.21,10.07,133,15,15.1,16,28.5,61.3,9.4,15.7,13.9,7.5,32731,70.4,26,50.7,84.7,53.6,16.3,87.2,78.8,87.9
E02000375,Hammersmith and Fulham 004,16.25,27.23,29.21,18.87,8.44,92,10.2,14.4,12.9,42.1,58.3,9.3,20.1,19.3,8.8,29898,74.8,32.4,64.5,85,51.6,17.5,106.3,74.4,89
E02000376,Hammersmith and Fulham 005,13.72,30.09,31.67,17.6,6.91,167.3,9.7,17.4,11.2,39.2,61,10.4,15.7,18.3,7.6,32699,77.2,40.8,63.3,86.7,52.3,17.2,101.1,77.3,84.1
E02000377,Hammersmith and Fulham 006,16.33,26.21,30.04,18.84,8.58,183.2,12,17,11.8,40.1,63.7,9.4,15.9,17.1,7.7,32832,74.8,37.3,58.4,86.3,52.7,17.1,99.2,78.1,85.7
E02000378,Hammersmith and Fulham 007,12.79,27.44,33.75,18.17,7.85,220.1,9.2,20.6,8.3,43,69.4,8.5,11.4,18,6.1,35737,78.9,28.8,63.8,88.3,55.7,15.6,93.1,79.2,88.5
E02000379,Hammersmith and Fulham 008,18.47,21.33,29.75,19.93,10.53,111.7,17.1,19,10.6,36.6,69.5,8.3,11.2,14.1,6.7,39830,75,23.1,46.1,86.4,56.7,14.1,89,79.1,86.5
E02000380,Hammersmith and Fulham 009,17.48,23.74,29.92,20.04,8.82,164.4,16.7,19.4,8.7,36.3,73.4,7.4,9.5,10.9,4.7,48753,76.1,26,47.3,88.6,58.9,14.8,95,79,92.7
