MSOA_Code,MSOA_Name,no_ limited(%),health(%),obesity(16+),Cancer_Incidence ,Life_Expectancy(M),Life_Expectancy(F£©
E02000297,Enfield 021,85.2,48.5,22.4,83.4,82.5,86.2
E02000298,Enfield 022,87.2,54.3,17.6,82,83.6,84.3
E02000299,Enfield 023,84.2,43.9,27.9,97.9,77.1,80.5
E02000300,Enfield 024,85.6,44.2,28.4,95.8,76.2,81.9
E02000301,Enfield 025,83.8,45.4,27.3,88.6,78,81.8
E02000302,Enfield 026,83.6,46.6,22.3,86.5,80.4,84.7
E02000303,Enfield 027,81.8,42.5,26.4,104.1,77.6,81.6
E02000304,Enfield 028,86.1,51.1,17,94,82.7,83.4
E02000305,Enfield 029,86.4,51.1,16.1,102.4,77.4,80.7
E02000306,Enfield 030,83.1,45.3,29.1,112.3,73.7,80.6
E02000307,Enfield 031,85.3,45.6,25.9,76.1,82,85.7
E02000308,Enfield 032,84.3,46.2,19.7,85.9,76.6,83.8
E02000309,Enfield 033,85.7,45.3,28.7,92,74.9,79.7
E02000311,Enfield 035,83.8,45.4,23.5,85.4,80.7,83.7
E02000312,Enfield 036,86.2,48.4,18.2,93.9,78.1,82.8
E02006793,Enfield 037,83.6,44.2,27.1,115.2,75.9,76
E02000313,Greenwich 001,85.9,51.2,25.8,134.4,75.1,77.9
E02000314,Greenwich 002,89.4,57.4,24,93.3,74.1,77.9
E02000315,Greenwich 003,83.2,49.4,25.7,109.3,72.4,80.1
E02000316,Greenwich 004,87.8,53.5,24.4,128.8,71,80.2
E02000317,Greenwich 005,83.5,49.6,25.3,110.9,74.2,79.3
E02000318,Greenwich 006,86,50.4,24.6,102,73.4,81.8
E02000319,Greenwich 007,87,52.6,23.1,100.6,73.1,77
E02000320,Greenwich 008,84.7,49.1,27.2,99.6,76.2,82.7
E02000321,Greenwich 009,83.1,47.2,27.8,90.6,73.6,79.6
E02000323,Greenwich 011,85.7,50.3,23.1,114.8,73.1,80.8
E02000324,Greenwich 012,80.6,46.1,20.5,116.4,71.4,77.1
E02000326,Greenwich 014,86.5,51.4,18.3,91.3,77.6,82.1
E02000327,Greenwich 015,86.9,55.5,27,86.8,79.2,85.2
E02000328,Greenwich 016,84,52.3,15.1,107,77.3,81.5
E02000329,Greenwich 017,83,46.3,25.3,103.4,78.3,86.6
E02000331,Greenwich 019,83.1,49.4,23.2,107.7,76.1,81.6
E02000332,Greenwich 020,85.9,49.5,22.2,102.7,78.7,83.6
E02000333,Greenwich 021,86.8,56,14.2,94.8,81.1,82.9
E02000334,Greenwich 022,82.2,45.3,21.7,97.7,78.2,85.4
E02000335,Greenwich 023,84.7,48.8,22.3,95.8,79.5,83.4
E02000337,Greenwich 025,80.2,43.8,25.1,121.7,74,80.7
E02000339,Greenwich 027,82.6,47.1,18.2,99.6,77.3,87
E02000340,Greenwich 028,82.3,44.9,20.9,100.4,77.5,84.4
E02000341,Greenwich 029,79.8,43,26.2,115.2,75.2,82.5
E02000342,Greenwich 030,85,47.7,21.7,101.5,77.9,84.3
E02000343,Greenwich 031,79.9,43.5,25.7,102.4,78.1,85.4
E02000344,Greenwich 032,84,47.2,23.7,94.7,78.8,81.6
E02006786,Greenwich 033,85.3,47.8,27.2,107.5,75.1,82.9
E02006927,Greenwich 034,83.2,49.4,22.7,107.6,77.8,81.6
E02006928,Greenwich 035,90.8,54,17.7,98.7,77.8,82.6
E02006929,Greenwich 036,85.7,52.4,18.1,94.1,75.4,85
E02006930,Greenwich 037,88.7,55.5,18.1,94.1,75.4,85
E02006931,Greenwich 038,87.3,56.2,17.7,98.7,77.8,82.6
E02000345,Hackney 001,89.9,65.2,21.9,86.9,80.4,84.3
E02000346,Hackney 002,79.8,43.2,25.9,86.5,77.6,86.8
E02000347,Hackney 003,87,62,20.6,111.5,74.7,85.6
E02000348,Hackney 004,85.9,58.9,25.2,98.4,78.4,83.5
E02000350,Hackney 006,88.3,56.8,18.5,92.1,80,83.7
