MSOA code,Total_Death
E02001959,15
E02001961,8
E02001962,17
E02001963,13
E02001964,10
E02001965,7
E02001966,13
E02001967,18
E02001968,15
E02001969,26
E02001970,7
E02001971,8
E02001972,20
E02001973,10
E02001974,14
E02001975,16
E02001976,18
E02001977,6
E02001978,10
E02001979,15
E02001980,9
E02001981,14
E02001982,19
E02001983,8
E02001984,21
E02001985,3
E02001986,21
E02001987,5
E02001988,15
E02001989,15
E02001990,22
E02001991,21
E02001992,33
E02001993,15
E02001994,14
E02001995,25
E02001996,7
E02001997,15
E02001998,9
E02001999,9
E02002000,17
E02002001,11
E02002002,24
E02002003,25
E02002004,14
E02002005,12
E02002006,6
E02002007,28
E02002008,24
E02002009,11
E02002010,34
E02002011,15
E02002012,23
E02002013,21
E02002014,18
E02002015,10
E02002016,16
E02002017,27
E02002018,17
E02002019,22
E02002020,35
E02002021,18
E02002022,16
E02002023,5
E02002024,23
E02002025,16
E02002026,11
E02002027,2
E02002028,7
E02002029,19
E02002030,23
E02002031,10
E02002032,15
E02002033,9
E02002034,14
E02002035,24
E02002036,12
E02002037,12
E02002038,13
E02002039,14
E02002040,12
E02002041,15
E02002042,23
E02002043,35
E02002044,17
E02002045,27
E02002046,10
E02002047,47
